word,category,semantic_class,gender,nom_pl,obl_sg,obl_pl
लड़का,n,person,m,लड़के,लड़के,लड़कों
लड़की,n,person,f,लड़कियाँ,लड़की,लड़कियों
शिक्षक,n,person,m,क्शिक्षक,शिक्षक,शिक्षकों
शिक्षिका,n,person,f,क्शिक्षिकाएँ,शिक्षिका,शिक्षिकाओं
माली,n,person,m,माली,माली,मालियों
मालिन,n,person,f,मालिनें,मालिन,मालिनों
डॉक्टर,n,person,m,क्डॉक्टर,डॉक्टर,डॉक्टरों
छात्र,n,person,m,त्छात्र,छात्र,छात्रों
छात्रा,n,person,f,त्छात्राएँ,छात्रा,छात्राओं
गायक,n,person,m,गायक,गायक,गायकों
गायिका,n,person,f,गायिकाएँ,गायिका,गायिकाओं
वकील,n,person,m,वकील,वकील,वकीलों
अभिनेता,n,person,m,अभिनेता,अभिनेता,अभिनेताओं
अभिनेत्री,n,person,f,अभिनेत्रियाँ,अभिनेत्री,अभिनेत्रियों
फोटोग्राफर,n,person,m,फोटोग्राफर,फोटोग्राफर,फोटोग्राफरों
वास्तुकार,n,person,m,वास्तुकार,वास्तुकार,वास्तुकारों
मछुआरा,n,person,m,मछुआरे,मछुआरे,मछुआरों
यात्री,n,person,m,यात्री,यात्री,यात्रियों
नर्तक,n,person,m,नर्तक,नर्तक,नर्तकों
नर्तकी,n,person,f,नर्तकियाँ,नर्तकी,नर्तकियों
महिला,n,person,f,महिलाएँ,महिला,महिलाओं
व्यवसायी,n,person,m,व्यवसायी,व्यवसायी,व्यवसायियों
जज,n,person,m,जज,जज,जजों
नर्स,n,person,f,नर्सें,नर्स,नर्सों
लोहार,n,person,m,लोहार,लोहार,लोहारों
आदमी,n,person,m,आदमी,आदमी,आदमियों
औरत,n,person,f,औरतें,औरत,औरतों
बच्चा,n,person,m,बच्चे,बच्चे,बच्चों
सचिव,n,person,m,सचिव,सचिव,सचिवों
लेखक,n,person,m,लेखक,लेखक,लेखकों
लेखिका,n,person,f,लेखिकाएँ,लेखिका,लेखिकाओं
अभियन्ता,n,person,m,अभियन्ते,अभियन्ते,अभियन्तों
अनुवादक,n,person,m,अनुवादक,अनुवादक,अनुवादकों
पत्रकार,n,person,m,पत्रकार,पत्रकार,पत्रकारों
खिलाड़ी,n,person,m,खिलाड़ी,खिलाड़ी,खिलाड़ियों
लेखाकार,n,person,m,लेखाकार,लेखाकार,लेखाकारों
चोर,n,person,m,चोर,चोर,चोरों
राष्ट्रपति,n,person,m,राष्ट्रपति,राष्ट्रपति,राष्ट्रपतियों
चित्रकार,n,person,m,चित्रकार,चित्रकार,चित्रकारों
संगीतकार,n,person,m,संगीतकार,संगीतकार,संगीतकारों
किसान,n,person,m,किसान,किसान,किसानों
किशोर,n,person,m,किशोर,किशोर,किशोरों
किशोरी,n,person,f,किशोरियाँ,किशोरी,किशोरियों
कवि,n,person,m,कवि,कवि,कवियों
कवयित्री,n,person,f,कवयित्रियाँ,कवयित्री,कवयित्रियों
पायलट,n,person,m,पायलट,पायलट,पायलटों
प्रोग्रामर,n,person,m,प्रोग्रामर,प्रोग्रामर,प्रोग्रामरों
विक्रेता,n,person,m,विक्रेता,विक्रेता,विक्रेताओं
रसोइया,n,person,m,रसोइये,रसोइये,रसोइयों
वैज्ञानिक,n,person,m,वैज्ञानिक,वैज्ञानिक,वैज्ञानिकों
नानबाई,n,person,m,नानबाई,नानबाई,नानबाइयों
चरवाहा,n,person,m,चरवाहे,चरवाहे,चरवाहों
आविष्कारक,n,person,m,आविष्कारक,आविष्कारक,आविष्कारकों
सेना,n,person,m,सैनिक,सैनिक,सैनिकों
दर्जी,n,person,m,दर्ज़ी,दर्ज़ी,दर्ज़ियों
बढ़ई,n,person,m,बढ़ई,बढ़ई,बढ़इयों
नाई,n,person,m,नाई,नाई,नाइयों
राजा,n,person,m,राजा,राजा,राजाओं
रानी,n,person,f,रानियाँ,रानी,रानियों
उद्यमी,n,person,m,उद्यमी,उद्यमी,उद्यमियों
फोटोग्राफर,n,person,m,फोटोग्राफर,फोटोग्राफर,फोटोग्राफरों
अतिथि,n,person,m,अतिथि,अतिथि,अतिथियों
बत्तख,n,animal,f,बत्तख़ें,बत्तख़,बत्तख़ों
मृग,n,animal,m,मृग,मृग,मृगों
हंस,n,animal,m,हंस,हंस,हंसों
भेड़,n,animal,f,भेड़ें,भेड़,भेड़ों
मछली,n,animal,f,मछलियाँ,मछली,मछलियों
बाज़,n,animal,m,बाज़,बाज़,बाज़ों
चूहा,n,animal,m,चूहे,चूहे,चूहों
गधा,n,animal,m,गधे,गधे,गधों
लोमड़ी,n,animal,f,लोमड़ियाँ,लोमड़ी,लोमड़ियों
घोंघा,n,animal,m,घोंघे,घोंघे,घोंघों
गाय,n,animal,f,गायें,गाय,गायों
साँड़,n,animal,m,साँड़,साँड़,साँड़ों
कछुआ,n,animal,m,कछुए,कछुए,कछुओं
हाथी,n,animal,m,हाथी,हाथी,हाथियों
हथिनी,n,animal,f,हथिनियाँ,हथिनी,हथिनियों
ख़रगोश,n,animal,m,ख़रगोश,ख़रगोश,ख़रगोशों
ऊँट,n,animal,m,ऊँट,ऊँट,ऊँटों
चीता,n,animal,m,चीते,चीते,चीतों
भालू,n,animal,m,भालू,भालू,भालुओं
उल्लू,n,animal,m,उल्लू,उल्लू,उल्लुओं
मेंढक,n,animal,m,मेंढक,मेंढक,मेंढकों
जिराफ़,n,animal,m,जिराफ़,जिराफ़,जिराफ़ों
बिल्ली,n,animal,f,बिल्लियाँ,बिल्ली,बिल्लियों
बिल्ला,n,animal,m,बिल्ले,बिल्ले,बिल्लों
केकड़ा,n,animal,m,केकड़े,केकड़े,केकड़ों
मगरमच्छ,n,animal,m,मगरमच्छ,मगरमच्छ,मगरमच्छों
सिंघ,n,animal,m,सिंघ,सिंघ,सिंघों
बाघ,n,animal,m,बाघ,बाघ,बाघों
तेंदुआ,n,animal,m,तेंदुए,तेंदुए,तेंदुओं
हाँगर,n,animal,m,हाँगर,हाँगर,हाँगरों
छिपकली,n,animal,f,छिपकलियाँ,छिपकली,छिपकलियों
मुर्ग़ा,n,animal,m,मुर्ग़े,मुर्ग़े,मुर्ग़ों
शुतुरमुर्ग़,n,animal,m,शुतुरमुर्ग़,शुतुरमुर्ग़,शुतुरमुर्ग़ों
भेड़िया,n,animal,m,भेड़िये,भेड़िये,भेड़ियों
गिरगिट,n,animal,m,गिरगिट,गिरगिट,गिरगिटों
साँप,n,animal,m,साँप,साँप,साँपों
साही,n,animal,m,साही,साही,साहियों
कुत्ता,n,animal,m,कुत्ते,कुत्ते,कुत्तों
सूअर,n,animal,m,सूअर,सूअर,सूअरों
तितली,n,animal,f,तितलियाँ,तितली,तितलियों
बंदर,n,animal,m,बंदर,बंदर,बंदरों
बंदरिया,n,animal,f,बंदरियाँ,बंदरिया,बंदरियों
गौरैया,n,animal,m,गौरैयाएँ,गौरैया,गौरैयाओं
खरहा,n,animal,m,खरहे,खरहे,खरहों
कबूतर,n,animal,m,कबूतर,कबूतर,कबूतरों
घोड़ा,n,animal,m,घोड़े,घोड़े,घोड़ों
गिलहरी,n,animal,f,गिलहरियाँ,गिलहरी,गिलहरियों
भैंस,n,animal,f,भैंसें,भैंस,भैंसों
नेवला,n,animal,m,नेवले,नेवले,नेवलों
चमगादड़,n,animal,m,चमगादड़,चमगादड़,चमगादड़ों
सियार,n,animal,m,सियार,सियार,सियारों
सूंस,n,animal,m,सूंस,सूंस,सूंसों
मकड़ी,n,animal,f,मकड़ियाँ,मकड़ी,मकड़ियों
चींटी,n,animal,f,चींटियाँ,चींटी,चींटियों
मधुमक्खी,n,animal,f,मधुमक्खियाँ,मधुमक्खी,मधुमक्खियों
मक्खी,n,animal,f,मक्खियाँ,मक्खी,मक्खियों
तितली,n,animal,f,तितलियाँ,तितली,तितलियों
मच्छर,n,animal,m,मच्छर,मच्छर,मच्छरों
इल्ली,n,animal,f,इल्लियाँ,इल्ली,इल्लियों
पक्षी,n,animal,m,पक्षी,पक्षी,पक्षियों
तोता,n,animal,m,तोते,तोते,तोतों
कोयल,n,animal,f,कोयलें,कोयल,कोयलों
मैना,n,animal,f,मैनाएँ,मैना,मैनाओं
कौआ,n,animal,m,कौए,कौए,कौओं
गिद्ध,n,animal,m,गिद्ध,गिद्ध,गिद्धों
बाज़,n,animal,m,बाज़,बाज़,बाज़ों
बछड़ा,n,animal,m,बछड़े,बछड़े,बछड़ों
आम,n,food,m,आम,आम,आमों
रोटी,n,food,f,रोटियाँ,रोटी,रोटियों
बेर,n,food,m,बेर,बेर,बेरों
गाजर,n,food,f,गाजरें,गाजर,गाजरों
बिस्कुट,n,food,m,बिस्कुट,बिस्कुट,बिस्कुटों
कुकी,n,food,m,कुकी,कुकी,कुकियों
आलूबालू,n,food,m,आलूबालू,आलूबालू,आलूबालुओं
केक,n,food,m,केक,केक,केकों
खीर,n,food,f,खीरें,खीर,खीरों
अखरोट,n,food,m,अखरोट,अखरोट,अखरोटों
संतरा,n,food,m,संतरे,संतरे,संतरों
आम,n,food,m,आम,आम,आमों
आड़ू,n,food,m,आड़ू,आड़ू,आड़ुओं
कुकुरमुत्ता,n,food,m,कुकुरमुत्ते,कुकुरमुत्ते,कुकुरमुत्तों
सेब,n,food,m,सेब,सेब,सेबों
टमाटर,n,food,m,टमाटर,टमाटर,टमाटरों
नाशपाती,n,food,f,नाशपातियाँ,नाशपाती,नाशपातियों
केला,n,food,m,केले,केले,केलों
आलू,n,food,m,आलू,आलू,आलुओं
नारियल,n,food,m,नारियल,नारियल,नारियलों
ख़ुबानी,n,food,f,ख़ुबानियाँ,ख़ुबानी,ख़ुबानियों
कुम्हड़ा,n,food,m,कुम्हड़े,कुम्हड़े,कुम्हड़ों
प्याज,n,food,m,प्याज़,प्याज़,प्याज़ों
नींबू,n,food,m,नींबू,नींबू,नींबुओं
तरबूज़,n,food,m,तरबूज़,तरबूज़,तरबूज़ों
ख़रबूज़ा,n,food,m,ख़रबूज़े,ख़रबूज़े,ख़रबूज़ों
टोपी,n,thing,f,टोपियाँ,टोपी,टोपियों
मोज़ा,n,thing,m,मोज़े,मोज़े,मोज़ों
जूता,n,thing,m,जूते,जूते,जूतों
चित्र,n,thing,m,चित्र,चित्र,चित्रों
मानचित्र,n,thing,m,मानचित्र,मानचित्र,मानचित्रों
कालीन,n,thing,m,कालीन,कालीन,कालीनों
पत्थर,n,thing,m,त्पत्थर,पत्थर,पत्थरों
हार,n,thing,m,हार,हार,हारों
कमरा,n,thing,m,कमरे,कमरे,कमरों
खिलौना,n,thing,m,खिलौने,खिलौने,खिलौनों
गुड़िया,n,thing,f,गुड़ियाएँ,गुड़िया,गुड़ियाओं
थैला,n,thing,m,थैले,थैले,थैलों
ईंट,n,thing,f,ईंटें,ईंट,ईंटों
गेंद,n,thing,m,गेंद,गेंद,गेंदों
तकिया,n,thing,m,तकिये,तकिये,तकियों
कुरसी,n,thing,f,कुरसियाँ,कुरसी,कुरसियों
पंख,n,thing,m,पंख,पंख,पंखों
फूल,n,thing,m,फूल,फूल,फूलों
गुलाब,n,thing,m,गुलाब,गुलाब,गुलाबों
कुमुदिनी,n,thing,f,कुमुदिनियाँ,कुमुदिनी,कुमुदिनियों
कमल,n,thing,m,कमल,कमल,कमलों
पेंसिल,n,tool,f,पेंसिलें,पेंसिल,पेंसिलों
कुंजी,n,tool,f,कुंजियाँ,कुंजी,कुंजियों
केतली,n,tool,f,केतलियाँ,केतली,केतलियों
सुई,n,tool,f,सुइयाँ,सुई,सुइयों
धागा,n,tool,m,धागे,धागे,धागों
बोतल,n,tool,f,बोतलें,बोतल,बोतलों
लेखनी,n,tool,f,लेखनियाँ,लेखनी,लेखनियों
गिलास,n,tool,m,गिलास,गिलास,गिलासों
कड़ाही,n,tool,f,कड़ाहियाँ,कड़ाही,कड़ाहियों
चम्मच,n,tool,m,चम्मच,चम्मच,चम्मचों
प्याला,n,tool,m,प्याले,प्याले,प्यालों
हथौड़ा,n,tool,m,हथौड़े,हथौड़े,हथौड़ों
कटोरी,n,tool,f,कटोरियाँ,कटोरी,कटोरियों
थाली,n,tool,f,थालियाँ,थाली,थालियों
करछी,n,tool,f,करछियाँ,करछी,करछियों
तवा,n,tool,m,तवे,तवे,तवों
परात,n,tool,m,परातें,परात,परातों
लोटा,n,tool,f,लोटे,लोटे,लोटों
कंप्यूटर,n,tool,m,कंप्यूटर,कंप्यूटर,कंप्यूटरों
दूरभाष,n,tool,m,दूरभाष,दूरभाष,दूरभाषों
अख़बार,n,text,m,अख़बार,अख़बार,अख़बारों
किताब,n,text,f,किताबें,किताब,किताबों
उपन्यास,n,text,m,उपन्यास,उपन्यास,उपन्यासों
पत्र,n,text,m,पत्र,पत्र,पत्रों
कविता,n,text,f,कविताएँ,कविता,कविताओं
चिट्ठी,n,text,f,चिट्ठियाँ,चिट्ठी,चिट्ठियों
ख़बर,n,speech,f,ख़बरें,ख़बर,ख़बरों
गाना,n,speech,m,गाने,गाने,गानों
चिल्लाहट,n,speech,f,चिल्लाहटें,चिल्लाहट,चिल्लाहटों
कहानी,n,speech,f,कहानियाँ,कहानी,कहानियों
गाड़ी,n,transport,f,गाड़ियाँ,गाड़ी,गाड़ियों
विमान,n,transport,m,विमान,विमान,विमानों
खोज,v,person animal food thing tool text transport,_,_,_,_
सुन,v,person animal speech transport,_,_,_,_
ख़रीद,v,food thing tool text transport,_,_,_,_
जान,v,person animal,_,_,_,_
देख,v,person animal food thing tool text transport,_,_,_,_
खा,v,food,_,_,_,_
बना,v,thing tool transport,_,_,_,_
बेच,v,food thing tool text transport,_,_,_,_
दिखा,v,food thing tool text transport,_,_,_,_
पढ़,v,text,_,_,_,_
उठा,v,food thing tool,_,_,_,_
पका,v,food,_,_,_,_
जगा,v,person animal,_,_,_,_
रोक,v,person animal transport,_,_,_,_
लिख,v,text,_,_,_,_
उगा,v,food,_,_,_,_
उपजा,v,food,_,_,_,_
पा,v,food thing tool,_,_,_,_
गिन,v,animal food thing tool transport,_,_,_,_
चख,v,food,_,_,_,_
चुन,v,food thing tool text transport,_,_,_,_
छुपा,v,food thing tool,_,_,_,_
पकड़,v,food thing tool,_,_,_,_
ला,v,food thing tool,_,_,_,_
